Date,Age groups,Received 2 or 3 doses (Single Day),Received 1 dose (Single Day),Unvaccinated (Single Day),Total (Single Day)
10/3/2022,<3,0,0,0,0
10/3/2022,3 to 11,0,1,-1,0
10/3/2022,12 to 19,0,0,0,0
10/3/2022,20 to 29,0,0,0,0
10/3/2022,30 to 39,0,0,0,0
10/3/2022,40 to 49,0,1,1,2
10/3/2022,50 to 59,2,0,5,7
10/3/2022,60 to 69,6,4,25,35
10/3/2022,70 to 79,12,0,29,41
10/3/2022,80+,45,8,143,196
11/3/2022,<3,0,0,0,0
11/3/2022,3 to 11,0,0,0,0
11/3/2022,12 to 19,0,0,0,0
11/3/2022,20 to 29,0,0,1,1
11/3/2022,30 to 39,1,0,0,1
11/3/2022,40 to 49,0,1,0,1
11/3/2022,50 to 59,2,0,3,5
11/3/2022,60 to 69,4,4,18,26
11/3/2022,70 to 79,7,8,30,45
11/3/2022,80+,14,53,148,215
12/3/2022,<3,0,0,0,0
12/3/2022,3 to 11,0,0,0,0
12/3/2022,12 to 19,1,0,0,1
12/3/2022,20 to 29,0,0,0,0
12/3/2022,30 to 39,0,1,0,1
12/3/2022,40 to 49,1,0,1,2
12/3/2022,50 to 59,1,4,3,8
12/3/2022,60 to 69,4,3,12,19
12/3/2022,70 to 79,8,9,25,42
12/3/2022,80+,17,36,159,212
13/3/2022,<3,0,0,0,0
13/3/2022,3 to 11,0,-1,1,0
13/3/2022,12 to 19,0,0,0,0
13/3/2022,20 to 29,0,0,0,0
13/3/2022,30 to 39,0,0,1,1
13/3/2022,40 to 49,0,0,1,1
13/3/2022,50 to 59,1,2,4,7
13/3/2022,60 to 69,1,2,17,20
13/3/2022,70 to 79,4,13,26,43
13/3/2022,80+,20,44,125,189
14/3/2022,<3,0,0,0,0
14/3/2022,3 to 11,0,1,-1,0
14/3/2022,12 to 19,0,0,0,0
14/3/2022,20 to 29,0,0,0,0
14/3/2022,30 to 39,0,0,1,1
14/3/2022,40 to 49,1,0,0,1
14/3/2022,50 to 59,4,1,2,7
14/3/2022,60 to 69,8,4,16,28
14/3/2022,70 to 79,6,13,30,49
14/3/2022,80+,30,33,138,201
15/3/2022,<3,0,0,0,0
15/3/2022,3 to 11,0,0,0,0
15/3/2022,12 to 19,0,0,1,1
15/3/2022,20 to 29,0,0,1,1
15/3/2022,30 to 39,0,0,0,0
