Date,Received of the Death,Unvaccinated,Total of Death
10/3/2022,79,202,281
11/3/2022,94,200,294
12/3/2022,85,200,285
13/3/2022,86,175,261
14/3/2022,101,186,287
15/3/2022,86,203,289
16/3/2022,95,184,279
17/3/2022,115,174,289
18/3/2022,102,163,265
19/3/2022,78,171,249
20/3/2022,89,157,246
21/3/2022,124,99,223
22/3/2022,102,140,242
23/3/2022,81,124,205
24/3/2022,62,139,201
25/3/2022,76,116,192
26/3/2022,47,92,139
27/3/2022,60,93,153
28/3/2022,71,96,167
29/3/2022,61,90,151
30/3/2022,62,74,136
31/3/2022,40,80,120
